state,district,latitude,longitude
Andhra Pradesh,Anantapur,14.6778,77.6081
Andhra Pradesh,Chittoor,13.2105,79.0956
Andhra Pradesh,East Godavari,16.9957,81.7154
Andhra Pradesh,Guntur,16.2997,80.4573
Andhra Pradesh,Kadapa,14.48,78.8235
Andhra Pradesh,Krishna,27.6632,78.9712
Andhra Pradesh,Kurnool,15.8289,78.036
Andhra Pradesh,Nellore,14.4499,79.987
Andhra Pradesh,Ongole,15.5036,80.0445
Andhra Pradesh,Prakasam,15.5642,80.0067
Andhra Pradesh,Srikakulam,18.2989,83.8975
Andhra Pradesh,Vijayawada,16.5074,80.6466
Andhra Pradesh,Visakhapatnam,17.6801,83.2016
Andhra Pradesh,Vizianagaram,18.1169,83.4115
Andhra Pradesh,West Godavari,16.7131,81.1044
Bihar,Araria,26.1493,87.5132
Bihar,Aurangabad,19.8776,75.3423
Bihar,Begusarai,25.4185,86.1339
Bihar,Bhagalpur,25.2445,86.9718
Bihar,Darbhanga,26.1522,85.8971
Bihar,East Champaran,26.6393,84.899
Bihar,Gaya,24.7969,85.0038
Bihar,Gopalganj,26.4673,84.4404
Bihar,Katihar,25.5385,87.5704
Bihar,Kishanganj,26.1022,87.9553
Bihar,Madhubani,26.3537,86.0717
Bihar,Munger,25.3746,86.4745
Bihar,Muzaffarpur,26.1226,85.3906
Bihar,Nalanda,25.1365,85.4437
Bihar,Nawada,24.8867,85.5436
Bihar,Patna,25.5941,85.1356
Bihar,Purnia,25.7789,87.4742
Bihar,Rohtas,24.6298,83.92
Bihar,Samastipur,25.8622,85.7795
Bihar,Saran,25.9214,84.776
Bihar,Sheikhpura,25.1399,85.841
Bihar,Sitamarhi,26.5936,85.4906
Bihar,Siwan,26.221,84.3561
Bihar,Supaul,26.1153,86.5951
Bihar,West Champaran,27.0518,84.3351
Chhattisgarh,Ambikapur,23.1189,83.1954
Chhattisgarh,Balod,20.7308,81.2058
Chhattisgarh,Baloda Bazar,21.6568,82.1606
Chhattisgarh,Bemetara,21.7156,81.5342
Chhattisgarh,Bilaspur,22.08,82.1554
Chhattisgarh,Dhamtari,20.7072,81.5487
Chhattisgarh,Durg,21.1915,81.2762
Chhattisgarh,Gariaband,20.6332,82.0622
Chhattisgarh,Jagdalpur,19.0814,82.0213
Chhattisgarh,Janjgir-Champa,21.9864,82.5537
Chhattisgarh,Korba,22.3458,82.6963
Chhattisgarh,Mahasamund,21.1074,82.0948
Chhattisgarh,Mungeli,22.0657,81.6854
Chhattisgarh,Raigarh,21.8976,83.3966
Chhattisgarh,Raipur,21.2333,81.6333
Chhattisgarh,Rajnandgaon,21.0684,80.7971
Gujarat,Ahmedabad,23.0258,72.5873
Gujarat,Amreli,21.5998,71.2117
Gujarat,Anand,22.5525,72.9552
Gujarat,Banaskantha,24.2694,72.5368
Gujarat,Bhavnagar,21.7629,72.1533
Gujarat,Gandhinagar,23.2167,72.6833
Gujarat,Jamnagar,22.4729,70.0667
Gujarat,Junagadh,21.5197,70.4598
Gujarat,Kheda,22.7522,72.6853
Gujarat,Kutch,23.5833,70.0
Gujarat,Mehsana,23.5986,72.3847
Gujarat,Morbi,32.336,76.0601
Gujarat,Patan,23.8507,72.1296
Gujarat,Rajkot,22.2916,70.7932
Gujarat,Sabarkantha,23.8689,73.0138
Gujarat,Surat,21.1959,72.8302
Gujarat,Surendranagar,22.7271,71.6486
Gujarat,Vadodara,22.2994,73.2081
Haryana,Ambala,30.361,76.7978
Haryana,Bhiwani,28.793,76.1397
Haryana,Faridabad,28.4112,77.3132
Haryana,Fatehabad,29.5153,75.4555
Haryana,Gurugram,28.4601,77.0263
Haryana,Hisar,29.1539,75.7229
Haryana,Jhajjar,28.6063,76.6565
Haryana,Jind,29.3158,76.315
Haryana,Kaithal,29.8015,76.3996
Haryana,Karnal,29.692,76.9845
